itemno;title;description;gallay-title;gallay-description
00003;;ausgefallenes Collier in Y-Form mit Kunststoffperle 18mm johannisbeer-rot im Kunststoffrahmen 30x30mm schwarz, kombiniert mit Aluminium-Ankerkette schwarz-matt, in Deutschland gefertigte Handarbeit;Kette, Viereck mit Perle, schwarz-rot;ausgefallenes Collier mit Kunststoffperle 18mm johannisbeer-rot im Kunststoffrahmen 30x30mm schwarz, kombiniert mit Aluminiumankerkette schwarz-matt
00005;;;Kette, schwarz-rot metallic, 80cm;-
00009;;Hochwertiges Sternzeichen für ein ganz persönliches Geschenk! vergoldete Plakette, 20mm, Sternzeichen Fische (pisces) 20. Februar - 20. März, Rückseite flach und glänzend mit kleiner Öse;Sternzeichen, Fische, vergoldet;Hochwertiges Sternzeichen für ein ganz persönliches Geschenk! vergoldete Plakette, 20mm, Sternzeichen - Fische -, Rückseite flach und glänzend mit kleiner Öse
00010;;;Kette, Rillenolive blau silber-farbig;2-fach Kordel 0,6mm in schwarz, Olivenperle aus Kunststoff in verschiedenen blau-tönen, Oberfläche mit Rillen, Verschluss silber-farbig
00011;;Hochwertiges Sternzeichen für ein ganz persönliches Geschenk! vergoldete Plakette, 20mm, Sternzeichen Wassermann (aquarius) 21. Januar - 19. Februar, Rückseite flach und glänzend mit kleiner Öse;Sternzeichen, Wassermann, vergoldet;Hochwertiges Sternzeichen für ein ganz persönliches Geschenk! vergoldete Plakette, 20mm, Sternzeichen - Wassermann -, Rückseite flach und glänzend mit kleiner Öse
00014;;Collier in Y-Form mit verschiedenen hochwertigen facettierten oder marmorierten Perlen in oliv und mint, verbunden mit Ankerkette in grau-matt, Gesamtlänge 115cm, unteres Muster ca. 13cm, in Deutschland gefertigte Handarbeit;Kette, Facettenperle oliv, Ankerkette;Collier in Y-Form mit verschiedenen facettierten oder marmorierten Perlen in oliv und mint, verbunden mit Ankerkette in grau-matt, Gesamtlänge 115cm, unteres Muster ca. 13cm
00016;;;Ohrhaken, Facettenperle topas, gelb;-
00018;;Collier in Y-Form mit verschiedenen facettierten oder marmorierten Perlen in grün seidig glänzend, verbunden mit Ankerkette in grün-matt, Gesamtlänge 120cm, unteres Muster ca.16cm lang, in Deutschland gefertigte Handarbeit;Kette, Krokoperle grün Ankerkette;Collier in Y-Form mit verschiedenen facettierten oder marmorierten Perlen in grün seidig glänzend, verbunden mit Ankerkette in grün-matt, Gesamtlänge 120cm, unteres Muster ca.16cm lang
00021;;sommerliches Collier mit hochwertigen mintfarbigen Perlen aus Kunststoff, Verschluss silber-farbig, in Deutschland gefertigte Handarbeit;Kette, Perle Barock, Seide-mint;sommerliches Collier mit mintfarbigen Perlen aus Kunststoff, Verschluss silber-farbig
00022;;;Clip, 18mm, gelb-orange-weiß marmoriert;Clip in modischem gelb-orange marmoriert, jedes Paar ein Unikat, Oberfläche glänzend, Bouton aus Kunststoff, Clipmechanik gebeizt
00024;;ausgefallenes Collier mit hochwertigen Kunststoffperlen stahlblau mit Organza hellblau sowie Kunststoff-Panzer blau-marmoriert, verbunden mit 2-fach Kordel blau, endlos ohne Verschluss, in Deutschland gefertigte Handarbeit;Kette, blau-marmor, Panzerkette blau;hochwertige Kunststoffperlen (teilweise galvanisch verchromt) mit Organza hellblau
