itemno;title;description;gallay-title;gallay-description
70002;;;Hängedekoration, Weihnachtsbaum;Artikel mit Kristall (Glas), gold-plattiert
70003;;Oh wie schön, Omas Gießkanne als begehrtes Sammlerstück! Diese kleine Gießkanne verliert garantiert ihr Wasser, aber sie ist trotzdem ein wertvolles Stück. Auf jeder Seite hat sie zwei Herzen, für die Gartenliebhaber, und die 8 großen geschliffenen Glas-Kristalle funkeln in allen Regenbogenfarben im Sonnenlicht. Der Henkel ist beweglich und die Oberfläche ist hochwertig gold-plattiert.;Gießkanne, mit Glas-Steinen;Artikel mit Kristall (Glas), gold-plattiert, Henkel beweglich
70004;;Dieser wunderschöne Regenschirm mit 8 geschliffenen Glas-Kristallen, gold-plattiert, schützt Sie zwar nicht vor Regentropfen, aber ist eine exclusive und dezent funkelnde Dekoration für eine festlich gedeckte Tafel und auch ein begehrtes Sammlerobjekt.;Regenschirm, mit Glas-Steinen;Artikel mit Kristall (Glas), gold-plattiert
70005;;Ein außergewöhnliches Geschenk nicht nur für TIERLIEBHABER! Wunderschöner springender Delfin mit 4 geschliffenen Glas-Kristallen, Oberfläche hochglänzend gold-plattiert. Der Delfin verkörpert Kraft, Sicherheit, Geborgenheit  und Lebensfreude und gilt als der Freund des Menschen. Ein tolles Geschenk und begehrtes Sammlerstück!;Delfin, mit Glas-Steinen;Artikel mit Kristall (Glas), gold-plattiert
70006;;Einfach goldig dieser kleine Hase! Putzige Tischdekoration Hase ( nicht nur für die Ostertafel ) mit je einem großen geschliffenen Glas-Kristall an Bauch und Rücken und auch die Augen haben kleine Glas-Kristalle die dezent funkeln. Die Oberfläche ist gold-plattiert.;Hase, mit Glas-Steinen;Artikel mit Kristall (Glas), gold-plattiert
70008;;Dieser putzige Löwe zaubert Ihnen automatisch ein Lächeln auf die Lippen und flößt auf keinen Fall Angst ein! Feine Details und vor allem die beiden großen geschliffenen Glas-Kristalle verhelfen dieser Dekofigur zu einem besonderen Reiz, die Augen als kleine geschliffene Glas-Kristalle funkeln dezent, die Oberfläche ist hochwertig gold-plattiert. Für alle im Sternzeichen Löwe (leo) 23. Juli - 23. August Geborene ein tolles Geschenk und ein begehrtes Sammelobjekt!;Löwe, mit Glas-Steinen;Artikel mit Kristall (Glas), gold-plattiert
70010;;Ein außergewöhnliches Geschenk nicht nur für MUSIKLIEBHABER! Piano mit vielen kleinen Details wie angedeutete Tasten und aufgeschlagenes Notenbuch. Besonders wertvoll durch 3 große geschliffene Glas-Kristalle in dem aufklappbaren Deckel. Die Oberfläche ist hochwertig gold-plattiert. Ein tolles Geschenk und begehrtes Sammlerstück!;Piano, mit Glas-Steinen;Artikel mit Kristall (Glas), gold-plattiert, Deckel aufklappbar
70011;;Ein außergewöhnliches Geschenk nicht nur für MUSIKLIEBHABER! Wunderschön detialverliebt gearbeitete Violine mit 2 großen und 7 kleinen geschliffenen Glas-Kristallen, Oberfläche hochwertig gold-plattiert, Ein begehrtes Sammlerstück!;Violine, mit Glas-Steinen;Artikel mit Kristall (Glas), gold-plattiert
70012;;Dieser kleine Pinguin ist eine Tischdekoration mit Schmunzelfaktor! Der Schnabel sieht wohl eher aus wie eine Nase, aber egal, das lustige Gesicht ist einfach zu putzig und die Fliege darf bei einem kleinen Frackträger auf keinen Fall fehlen! Besonders wertvoll sind die beiden geschliffenen Glas-Kristalle vorn und hinten, die wunderschön in der Sonne funkeln, sowie die Augen mit kleinen geschliffenen Glas-Kristallen. Ein tolles Geschenk und begehrtes Sammlerstück!;Pinguin, mit Glas-Steinen;Artikel mit Kristall (Glas), gold-plattiert
70014;;Ein wunderschönes Geschenk zur Geburt eines Kindes oder als Patengeschenk! wunderschöne Nachbildung eines Kinderwagens mit 6 geschliffenen großen Glas-Kristallen, gold-plattiert, die Räder sind beweglich;Kinderwagen, mit Glas-Steinen;Artikel mit Kristall (Glas), gold-plattiert, Räder beweglich
70015;;;Fisch, mit Glas-Steinen;Artikel mit Kristall (Glas), gold-plattiert
70016;;Exclusives Windspiel mit Ständer als Tischdekoration. An der Kugel, 38mm, hängt ein Windspiel mit 3 Röhrchen in verlaufender Länge, die leise im Wind spielen. Besonders exclusiv ist die Kugel mit 6 großen geschliffenen Glas-Steinen, sie wird mit einer dünnen Goldlitze am Ständer aufgehängt. Die Oberfläche ist hochwertig gold-plattiert, Passt auch toll an einen Weihnachtsbaum, wo die Glas-Steine toll im Lichterschein funkeln!;Ständer mit Windspiel, Kugel;Kugel 41x37mm, Gesamthöhe 220mm, mit Glas-Steinen, gold-plattiert
70017;;;Hängedekoration, Schneeflocke;Artikel mit Kristall (Glas), gold-plattiert
70019;;Vorsicht! Nicht das Fenster öffnen, sonst fliegt Ihnen dieser putzige kleine Marienkäfer gleich davon! Die kleine Tischdekoration macht sich auch viel besser auf dem Fenstersims, wo seine 2 großen geschliffenen Glas-Kristalle herrlich in der Sonne funkeln. Die Oberfläche ist hochwertig gold-plattiert. Ein tolles Geschenk und ein begehrtes Sammlerobjekt!;Marienkäfer, mit Glas-Steinen;Artikel mit Kristall (Glas), gold-plattiert
70020;;Ein außergewöhnlicher Eyecatcher! Märchenfigur Drache mit 8 geschliffenen großen Glas-Kristallen die wunderschön in allen Regenbogenfarben in der Sonne funkeln, die Oberfläche ist hochwertig gold-plattiert. Ein tolles Geschenk und ein begehrtes Sammlerobjekt!;Drache, mit Glas-Steinen;Artikel mit Kristall (Glas), gold-plattiert, der Drache als Märchenfigur
70021;;Oh wie romantisch! Ein absolutes Must-Have für Verliebte! Zwei fliegende Tauben sitzen auf einem Herz und sehen sich verliebt an, eine tolle Dekoration für die Hochzeitstafel oder ein Candle Light Dinner. Noch wertvoller wird dieser tolle Tischschmuck durch 5 große geschliffene Glas-Kristalle, die Oberfläche ist gold-plattiert;Fliegende Tauben mit Herz, Glas-Steine;mit Kristall-Glas-Elementen
70022;;Oh wie romantisch! Ein absolutes Must-Have für Verliebte! Zwei miteinander verbundene Herzen als Symbol ewiger Liebe, hochwertig mit je einem großen geschliffenen Glas-Kristall, an dem Rahmen eines Teelichthalters. Eine tolle Dekoration für die Hochzeitstafel oder ein Candle Light Dinner. Die Oberfläche ist hochwertig gold-plattiert, Lieferung inclusive einem Teelicht;Teelicht, Zwei Herzen, mit Glas-Steinen;Artikel mit Kristall-Glas-Elementen, gold-plattiert, Lieferung mit Teelicht
70023;;Einmal über den Wolken schweben? Dieses außergewöhnliche Flugzeug lässt Sie davon träumen! 10 große geschliffene Glas-Kristalle schmücken den Doppeldecker, der Propeller und die Räder sind beweglich, die Oberfläche ist hochwertig gold-plattiert. Ein tolles Geschenk und begehrtes Sammlerstück!;Flugzeug, mit Glas-Steinen;Artikel mit Kristall (Glas), gold-plattiert, Propeller und Räder beweglich
70025;;Diese Nachbildung einer kleinen Elfe ist liebevoll mit kleinen Details versehen. Sie trägt 2 große geschliffene Glas-Kristalle in ihren Flügeln und einen tropfenförmigen Glas-Kristall in der Hand, die im Licht dezent funkeln. Die Oberfläche ist gold-plattiert. In der heutigen Fantasywelt gilt die Elfe als magisches Wesen. Ein besonderes Geschenk für einen anspruchsvollen Menschen und ein begehrtes Sammlerobjekt.;Elfe, mit Glas-Steinen;Artikel mit Kristall (Glas), gold-plattiert
70026;;Dieses außergewöhnliche Geschenk macht auch bei stürmischer See eine gute Figur! Der exclusive 3-Master (Segelschiff) hat in jedem der 5 Segel einen  großen geschliffenen Glas-Kristall eingearbeitet, der dezent im Licht funkelt. Die Oberfläche ist hochwertig gold-plattiert. Eine tolle Überraschung und ein begehrtes Sammlerstück!;Segelschiff, mit Glas-Steinen;Artikel mit Kristall (Glas), gold-plattiert
70029;;Auch wenn Sie an der Kurbel drehen, diesem nostalgischen Grammofon werden Sie keinen Ton entlocken! Diese exclusive Dekoration erinnert Sie an die Gute Alte Zeit. Der Grammofonkasten hat 6 große geschliffene Glas-Kristalle, die herrlich im Licht funkeln. Die Kurbel und auch die Platte sind beweglich. Die Oberfläche ist hochwertig gold-plattiert. Eine tolle Überraschung und ein begehrtes Sammlerstück!;Grammofon, mit Glas-Steinen;Artikel mit Kristall (Glas), gold-plattiert, Platte und Kurbel beweglich
70037;;;Anhänger, Kugel kristall Aurore Boréale;Kristall-Glas, 30% Bleigehalt, AB: Aurore Boréale, Spiegeleffekt, Lüsterbehang
70057;;;Berg, kristall matt;-
70065;;;Berghöhle, klar peacock;-
70068;;;Leuchtturm, kristall klar;-
70079;;Dieses exclusive nostalgische Telefon hat 5 große und 10 kleine geschliffene Glas-Kristalle die dezent funkeln. Es ist gold-plattiert und der Hörer ist abnehmbar. Ein tolles Geschenk für einen anspruchsvollen Menschen und ein begehrtes Sammlerobjekt!;Telefon, mit Glas-Steinen;Artikel mit Kristall-Glas, gold-plattiert, Hörer abnehmbar
70081;;Oh wie romantisch, dieser kleine Schmetterling hat ein wertvolles Herz gefunden! Der Schmetterling trägt in jedem Flügel einen großen geschliffenen Glas-Kristall, der in der Sonne in allen Regenbogenfarben schimmert. An dem Herz mit seitlich angedeuteten Spiralen hängt ebenfalls ein großer, beweglicher Glas-Kristall. Eine tolle Dekoration für die Hochzeitstafel oder ein Candle Light Dinner!;Herz mit Schmetterling;Artikel mit Kristall-Glas, gold-plattiert
70082;;;Diamant, kristall klar;-
70083;;Ein außergewöhnlicher Eyecatcher nicht nur für TIERLIEBHABER! 3 Delfine springen über eine Stange, beweglich aufliegend, geschmückt von 6 großen geschliffenen Glas-Kristallen, gold-plattiert;Pendel mit 3 Delfinen;Artikel mit Kristall-Glas, gold-plattiert
70085;;;Pyramide, Tierkreiszeichen Wassermann;-
70086;;;Pyramide, Tierkreiszeichen Löwe;-
70090;;;Pyramide, Tierkreiszeichen Jungfrau;-
70091;;;Pyramide, Tierkreiszeichen Krebs;-
70092;;;Pyramide, Tierkreiszeichen Zwilling;-
70094;;;Pyramide, Tierkreiszeichen Stier;-
70100;;;Anhänger, Delfin, kristall matt;mit Anhängeröse
70115;;;Fensterschmuck, Doppelspiegel;kristall verspiegelt von beiden Seiten, mit weißer Schnur zum Aufhängen
70116;;Ein außergewöhnliches Geschenk nicht nur für MUSIKLIEBHABER! Schlagzeug mit Tomtom, Becken mit Ständer und großer Trommel sind mit 22 kleinen Glassteinen und zwei großen geschliffenen Glassteinen besetzt, die Oberfläche ist gold-plattiert. Damit können Sie keine Töne erzeugen, aber trotzdem das Herz eines lieben Menschen erfreuen!;Kleines Schlagzeug mit Glas-Steinen;Artikel mit Kristall-Glas-Elementen, gold-plattiert
70118;;;Fensterschmuck, Gesicht, AB matt;Lieferung ohne Schluppe, AB: Aurore Boréale Spiegeleffekt
70122;;;Fensterschmuck, mit innerem Spiegel;convex, AB: Aurore Boréale Spiegeleffekt, Lieferung ohne Schluppe
70125;;Ganz still und majestätisch sitzt der Frosch auf seinem Stein und wartet darauf, von Ihnen geküsst werden! Aber wertvoll ist er ohnehin schon mit den 3 großen geschliffenen Glas-Kristallen an seinem Körper und den dezent funkelnden Glas-Kristallen in seinen Augen. Die Oberfläche ist hochwertig gold-plattiert. Ein tolles Geschenk und ein begehrtes Sammlerstück!;Frosch, mit Glas-Steinen;Artikel mit Kristall-Glas, gold-plattiert
70126;;Diese Blumen werden niemals welken! Ein außergewöhnliches Geschenk nicht nur zum Muttertag! Wunderschöne kleine Kugelvase mit 6 großen geschliffenen Glas-Kristallen und 2 herausnehmbaren Blumen mit großem geschliffenen Glas-Kristall als Blüte, gold-plattiert;Vase mit Blumen, mit Glas-Steinen;Artikel mit Kristall-Glas, gold-plattiert, Blumen herausnehmbar
70136;;;Briefbeschwerer, kristall matt/türkis;-
70138;;;Briefbeschwerer, kristall matt/rot;-
70147;;Mit diesem Sport-Auto (Cabrio) können Sie zwar nicht über den Highway düsen, aber es regt an, davon zu träumen! Dieses tolle Stück zeichnet sich aus durch raffinierte Details wie drehende Räder, detailverliebte Sitze, kleine funkelnde Glas-Kristalle als Scheinwerfer und je ein großer geschliffener Glas-Kristall an der Stelle, an der der Autobauer normalerweise die Tür einbaut. Die Oberfläche ist hochglänzend gold-plattiert. Ein tolles Geschenk und begehrtes Sammlerstück!;Sport-Auto ohne Verdeck mit Glas-Steinen;Artikel mit Kristall-Glas-Elementen, gold-plattiert
70164;;Wunderschön und majestätisch erscheint dieses pferdeähnliche Fabeltier, das als das Edelste aller Fabeltiere gilt und als Symbol für das Gute steht. In seinem Körper trägt es 3 große geschliffene Glas-Kristalle, die wunderschön in der Sonne funkeln. Die Oberfläche ist hochwertig gold-plattiert. Zum wahren Eyecatcher wird dieser Suncatcher an einer Fensterscheibe oder einem Spiegel, der Saugnapf zum Anbringen ist inclusive.;Suncatcher, Einhorn;Artikel mit Kristall-Glas, ein Suncatcher wird mit seinem Saugnapf an einer glatten Fläche wie Spiegel oder Scheiben befestigt, Saugnapf ist mit enthalten, gold-plattiert
70165;;Dieses sehr exclusive Kleeblattkreuz mit 6 wunderschön funkelnden geschliffenen Glas-Steinen, die Oberfläche ist gold-plattiert, ist die Zierde jeder festlich gedeckten Tafel zu einem besonderen relegiösen Anlass. Das dreiblättrige Kleeblatt ist in der Symbolsprache ein altes Zeichen der Dreifaltigkeit (Vater, Sohn und Heiliger Geist).;Kreuz, mit Glas-Steinen;Artikel mit Kristall-Glas, gold-plattiert
70169;;Dieser wunderschöne stolze Falke hat ein detailgetreues Federkleid und ist besonders wertvoll durch 4 große geschliffene Glas-Kristalle an den Flügeln. Die Augen bilden zwei kleine geschliffene Glas-Kristalle, die dezent im Licht funkeln. Die Oberfläche ist hochwertig gold-plattiert. Eine exclusive Dekoration nicht nur für Ornithologen und ein begehrtes Sammlerstück!;Falke, mit Glas-Steinen;Artikel mit Kristall-Glas-Elementen, gold-plattiert
