itemno;title;description;gallay title;gallay description
430002;;Filigrane Nachbildung eines Ginkgo-Blattes, die Oberfläche ist glänzend aus 375er Gold (9 Karat). Die Chinesen und Japaner verehren den Ginkgo seit Jahrhunderten wegen seiner Lebenskraft als heilig und erbeten unter ihm ihre Wünsche.;Stecker, 7mm Ginkgoblatt glzd 9Kt GOLD;-
430003;;;Anhänger, fliegender Engel, 9Kt GOLD;matt
430005;;filigrane Nachbildung eines Ginkgo-Blattes aus 333er Gold, 8 Karat, Oberfläche glänzend. Die Chinesen und Japaner verehren den Ginkgo seit Jahrhunderten wegen seiner Lebenskraft als heilig und erbeten unter ihm ihre Wünsche.;Stecker, 12mm Ginkgoblatt 8Kt GOLD;-
430006;;Wunderschöner Stecker nicht nur für Delfinliebhaber! Kleiner Goldstecker, Delfin, 8 Karat Gold, mit glänzender Oberfläche, verbödet Der Delfin verkörpert Kraft, Sicherheit, Geborgenheit  und Lebensfreude und gilt als der Freund des Menschen.;Stecker, Delfin, verbödet, 8Kt GOLD;verbödet
430008;;;Stecker, fliegender Engel, 9Kt GOLD;matt
430012;;;Anhänger, Kreuz diamantiert, 9Kt GOLD;-
430014;;kleiner Ohrstecker Herz mit Zirkonia aus 375er Gold (9 Karat), Ein besonderes Schmuckstück für jede Gelegenheit!;Stecker, Herz mit Zirkonia, 9Kt GOLD;-
430015;;;Creole, 12mm, glänzend, 9Kt GOLD;-
430017;;;Anhänger, Delfin glänzend, 9Kt GOLD;innen hohl
430022;;kleiner bicolor Anhänger aus 375er Gold (9 Karat) und teilweise rhodiniert mit kleinem Zirkonia, besonders dekorativ mit schmaler Schlangenkette;Anhänger, bicolor mit Zirkonia 9Kt GOLD;bicolor mit Zirkonia
430023;;Wunderschön gearbeiteter Ohrstecker in bicolor mit zwei eingefassten Zirkonia für die modebewusste Dame, 375er oder 9 Karat Gold;Stecker, bicolor mit Zirkonia 9Kt GOLD;-
430025;;;Brisur, fliegender Engel, 9Kt GOLD;matt
430026;;Ohrstecker X-förmig, eine Seite matt und diamantiert, eine Seite glänzend, Rückseite verbödet, 375er Gold (9 Karat), ein Schmuckstück für viele Gelegenheiten.;Stecker, X-diamantiert, 9Kt GOLD;verbödet (Rückseite glatt geschlossen), glänzend-matt
430029;;filigran gearbeiteter Ohrstecker mit einem 4mm Zirkonia, mit Grannen gehalten, 375er Gold oder 9 Karat;Stecker, 4mm mit Zirkonia, 9Kt GOLD;-
430030;;Dezent aber doch schmückend, weniger ist manchmal mehr! Nasenpiercing mit kleinem Zirkonia 3mm und Spirale aus 750er Gold (18 Karat);Nasenstecker, 3mm, Zirkonia, 18Kt GOLD;Piercing mit Spirale, Zirkonia, Steglänge 3,8mm
430033;;zeitloser Kugelstecker 3mm, innen hohl, aus 375er oder 9 Karat Gold, auch für zweites oder drittes Ohrpiercing geeignet;Stecker, 3mm Kugel, hohl, 9Kt GOLD;-
430034;;zeitloser Kugelstecker 4mm, innen hohl, aus 375er oder 9 Karat Gold, auf für zweites oder drittes Ohrpiercing geeignet;Stecker, ca. 4mm Kugel, hohl, 9Kt GOLD;-
430035;;zeitloser Kugelstecker 5mm, innen hohl, aus 375er oder 9 Karat Gold, auch für zweites oder drittes Ohrpiercing geeignet;Stecker, ca. 5mm Kugel, hohl, 9Kt GOLD;-
430037;;Putziger kleiner Anhänger Hase, ein wunderschönes Geschenk zum Geburtstag, Schuleinweihung oder einfach mal zwischendurch. aus 375er Gold (9 Karat), Oberfläche matt-glänzend;Anhänger, Hase, 9Kt GOLD;-
430040;;Ein wunderschöner Eyecatcher für die anspruchsvolle Trägerin! Filigran gearbeitete Creole mit Steckverschluss und diamantierter Oberfläche, 9 Karat Gold;Creole, 15mm, diamantiert glänzend, 9Kt;-
430041;;Filigran gearbeitete Creole mit Steckverschluss, die Oberfläche ist gewölbt, 9 Karat Gold, auch für 2. oder 3. Ohrpiercing geeignet;Creole, 13mm, gewölbt, glänzend, 9Kt;Steckverschluss
