itemno;title;description;abe-title;abe-description
201005-19;;;Armband, Panzerkette 2x diamantiert, AMD;-
201005-45;;;Kette, Panzerkette 2x diamantiert, AMD;-
201005-50;;;Kette, Panzerkette 2x diamantiert, AMD;-
201005-55;;;Kette, Panzerkette 2x diamantiert, AMD;-
201006-21;;;Armband, Panzerkette 2x diamantiert AMD;-
201006-23;;;Armband, Panzerkette 2x diamantiert AMD;-
201006-50;;;Kette, Panzerkette 2x diamantiert, AMD;-
201351-36;;;Kette, Panzerkette 2x diamantiert AMD;2x diamantiert
201351-38;;;Kette, Panzerkette 2x diamantiert AMD;2x diamantiert
201351-40;;;Kette, Panzerkette 2x diamantiert AMD;2x diamantiert
201351-42;;;Kette, Panzerkette 2x diamantiert AMD;-
201351-45;;;Kette, Panzerkette 2x diamantiert AMD;-
201351-50;;;Kette, Panzerkette 2x diamantiert AMD;2x diamantiert
201401-27;;;Fußkette, Panzer diamantiert, AMD;3 Ösen bei 23, 25 und 27cm mit Endkugel 4mm, diamantiert
201401-40;;;Kette, Panzerkette 2x diamantiert AMD;2x diamantiert
201401-42;;;Kette, Panzerkette, gold-plattiert;2x diamantiert
201401-45;;;Kette, Panzerkette 2x diamantiert AMD;2x diamantiert
201401-50;;;Kette, Panzerkette 2x diamantiert AMD;2x diamantiert
201401-55;;;Kette, Panzerkette 2x diamantiert AMD;2x diamantiert
201401-60;;;Kette, Panzerkette 2x diamantiert AMD;2x diamantiert
201501-100;;;Bauchkette, Panzer 2x diamantiert, AMD;Bikinikette 100cm, am Ende der Kette mit 3 Ösen im Abstand von 6cm und Endkugel 4mm, 2x diamantiert
201501-19;;;Armband, Panzer, 2x diam, FR, AMD;2x diamantiert
201501-42;;;Kette, Panzer 2x diamantiert, AMD;2x diamantiert
201501-45;;;Kette, Panzer 2x diamantiert, AMD;2x diamantiert
201501-50;;;Kette, Panzer 2x diamantiert, AMD;2x diamantiert
201501-55;;;Kette, Panzer 2x diamantiert, AMD;2x diamantiert
201501-60;;;Kette, Panzer 2x diamantiert, AMD;2x diamantiert
201501-70;;;Kette, Panzer 2x diamantiert, AMD;2x diamantiert
201501-90;;;Bauchkette, Panzer 2x diamantiert, AMD;Bikinikette 90cm, am Ende der Kette mit 3 Ösen im Abstand von 6cm und Endkugel 4mm, 2x diamantiert, ca. 6,2g
201601-50;;;Kette, Panzerkette 2x diamantiert, AMD;2x diamantiert
201601-60;;;Kette, Panzerkette 2x diamantiert, AMD;-
201801-19;;;Armband, Panzer 2x diamantiert, AMD;-
201801-21;;;Armband, Panzer 2x diamantiert, AMD;-
201801-40;;;Kette, Panzerkette 2x diamantiert, AMD;-
201801-42;;;Kette, Panzerkette 2x diamantiert, AMD;-
201801-45;;;Kette, Panzerkette 2x diamantiert AMD;-
201801-50;;;Kette, Panzerkette 2x diamantiert AMD;-
201801-55;;;Kette, Panzerkette 2x diamantiert, AMD;-
201801-60;;;Kette, Panzerkette 2x diamantiert, AMD;-
201801-70;;;Kette, Panzer, 2x diamantiert, AMD;-
202006-21;;;Armband, Weitpanzer, 4x diam, KB, AMD;4x diamantiert
202006-23;;;Armband, Weitpanzer, 4x diam, KB, AMD;4x diamantiert
202006-50;;;Kette, Weitpanzer, 4x diam, KB, AMD;4x diamantiert
202006-60;;;Kette, Weitpanzer, 4x diam, KB, AMD;4x diamantiert
202007-90;;;Bauchkette, 90cm, Weitpanzer rund, AMD;Bikinikette 90cm, am Ende der Kette mit 3 Ösen im Abstand von 6cm und Endkugel 4mm
202008-90;;;Bauchkette, 90, Weitpanzer diamant, AMD;Bikinikette 90cm, am Ende der Kette mit 3 Ösen im Abstand von 6cm und Endkugel 4mm, diamantiert
202009-90;;;Bauchkette, Weitpanzer, gold-plattiert;Bikinikette 90cm, Länge beliebig verstellbar, Endkugel 4mm, diamantiert
203001-19;;;Armband, Zwillingspanzer glänzend, AMD;2x diamantiert
203001-42;;;Kette, Zwillingspanzer glänzend, AMD;2x diamantiert
203002-19;;;Armband, Zwillingspanzer glänzend, AMD;2x diamantiert
203002-45;;;Kette, Zwillingspanzer glänzend, AMD;2x diamantiert
203002-50;;;Kette, Zwillingspanzer glänzend, AMD;2x diamantiert
203003-15;;;Schildband, Doppelpanzer 2x diam, AMD;Öse bei 13 und 15cm, Identitätsarmband für Kinder mit Platte ca. 21x6mm, 2x diamantiert
205003-19;;;Armband, Stegpanzer 2x diamantiert, AMD;-
205003-45;;;Kette, Stegpanzer 2x diamantiert, AMD;-
205003-50;;;Kette, Stegpanzer 2x diamantiert, AMD;-
205006-19;;;Armband, Stegpanzer flach, AMD;2x diamantiert
205006-21;;;Armband, Stegpanzer flach, AMD;2x diamantiert
205006-45;;;Kette, Stegpanzer flach, AMD;2x diamantiert
205006-50;;;Kette, Stegpanzer flach, AMD;2x diamantiert
206001-19;;;Armband, Panzer oval gedrückt, AMD;-
206001-21;;;Armband, Panzer oval gedrückt, AMD;-
206001-45;;;Kette, Panzer oval gedrückt, AMD;-
206001-50;;;Kette, Panzer oval gedrückt, AMD;-
206001-60;;;Kette, Panzer oval gedrückt, AMD;
206002-50;;;Kette, 7mm Panzer oval gedrückt AMD;-
206100-27;;;Fußkette, Venezianer diamantiert, AMD;3 Ösen bei 23, 25 und 27cm mit Endkugel 4mm, diamantiert
206100-38;;;Kette, Venezianer diamantiert, AMD;-
206100-40;;;Kette, Venezianer diamantiert, AMD;-
206100-42;;;Kette, Venezianer diamantiert, AMD;-
206100-45;;;Kette, Venezianer diamantiert, AMD;-
206100-50;;;Kette, Venezianer diamantiert, AMD;-
206100-60;;;Kette, Venezianer diamantiert, AMD;diamantiert
206103-45;;;Kette, Venezianer diamantiert, AMD;diamantiert
206105-50;;;Kette, Venezianer diamantiert, AMD;diamantiert
206105-55;;;Kette, Venezianer diamantiert, AMD;diamantiert
206105-60;;;Kette, Venezianer diamantiert, AMD;diamantiert
206105-70;;;Kette, Venezianer diamantiert, AMD;diamantiert
206200-50;;;Kette, Venezianer 2mm, AMD;Halskette in 10/000 Milliem gold-plattiert
206200-60;;;Kette, Venezianer 2mm, AMD;Halskette in 10/000 Milliem gold-plattiert
208001-19;;;Armband, 5mm, S-Panzer, AMD;-
208001-50;;;Kette, S-Panzer, 2x diamantiert, AMD;-
208001-55;;;Kette, S-Panzer, 2x diamantiert, AMD;-
