itemno;title;description;abe-title;abe-description
101000-23;;;Schildband, Weitpanzer diamantiert, 925;Identitätsarmband mit Muster, diamantiert
101001-25;;hochwertiges Schmuckstück in feinster Juwelierqualität mit einem kleinen Engelsflügel als Abschluss, Öse bei 23cm und 25cm, Der Engelsflügel gilt landesweit als Schutzsymbol!;Fußkette Panzer Engelflügel, Silber 925;Öse bei 23cm und 25cm, Ende Engelsflügel  16x6mm
101003-19;;;Armband, Panzerkette flach, Silber 925;2x diamantiert, sehr flache Kette, Dicke nur 1mm, Breite 2,8mm
101003-45;;;Kette, Panzerkette flach, Silber 925;2x diamantiert, sehr flache Kette, Dicke nur 1mm, Breite 2,8mm
101003-50;;;Kette, Panzerkette flach, Silber 925;2x diamantiert, sehr flache Kette, Dicke nur 1mm, Breite 2,8mm
101003-55;;;Kette, Panzerkette flach, Silber 925;2x diamantiert, sehr flache Kette, Dicke nur 1mm, Breite 2,8mm
101003-60;;;Kette, Panzerkette flach, Silber 925;2x diamantiert, sehr flache Kette, Dicke nur 1mm, Breite 2,8mm
101003-70;;;Kette, Panzer flach, Silber 925;2x diamantiert, sehr flache Kette, Dicke nur 1mm, Breite 2,8mm
101013-19;;Identitätsarmband Panzerkette flach gedrückt, 4,3mm breit, mit leicht gebogener Gravurplatte 4,8x48mm in bester Juwelierqualität, Ein tolles Schmuckstück für ein ganz persönliches Geschenk!;Schildband, Armband, Panzer Silber 925;flache Panzerkette 101016 mit leicht gebogener Gravurplatte 4,8x48mm
101013-21;;Identitätsarmband Panzerkette flach gedrückt, 4,3mm breit, mit leicht gebogener Gravurplatte 4,8x48mm in bester Juwelierqualität, Ein tolles Schmuckstück für ein ganz persönliches Geschenk!;Schildband, Armband, Panzer Silber 925;flache Panzerkette 101016 mit leicht gebogener Gravurplatte mm
101016-45;;;Kette Panzer flach gedrückt Silber 925;-
101016-50;;;Kette Panzer flach gedrückt Silber 925;-
101019-19;;;Armband, Panzerkette 2x diam Silber 925;2x diamantiert
101019-21;;;Armband, Panzerkette 2x diam Silber 925;2x diamantiert
101019-50;;;Kette, Panzerkette 2x diam Silber 925;2x diamantiert
101019-55;;;Kette, Panzerkette 2x diam Silber 925;2x diamantiert
101020-21;;;Schildband, Armband Panzer, Silber 925;Identitätsarmband, Gravurplatte 46x7mm, hoch-glänzend, 4x diamantiert
101021-21;;;Schildband, Armband Panzer, Silber 925;Identitätsarmband, Gravurplatte 54x8mm
101038-19;;Identitätsarmband Panzerkette flach gedrückt, 6,3mm breit, mit leicht gebogener Gravurplatte 6,2x49mm in bester Juwelierqualität, Ein tolles Schmuckstück für ein ganz persönliches Geschenk!;Schildband, Armband, Panzer Silber 925;flache Panzerkette 101016 mit leicht gebogener Gravurplatte 6,2x49mm
101038-21;;Identitätsarmband Panzerkette flach gedrückt, 6,3mm breit, mit leicht gebogener Gravurplatte 6,2x49mm in bester Juwelierqualität, Ein tolles Schmuckstück für ein ganz persönliches Geschenk!;Schildband, Armband, Panzer Silber 925;flache Panzerkette 101016 mit leicht gebogener Gravurplatte mm
101039-21;;Dieses total angesagte breite Panzerarmband aus 925er Silber, 6-fach diamantiert, könnte sich schnell zu Ihrem Lieblingsstück entwickeln! Durch seine hochglänzende Oberfläche strahlt es wie ein Schatz an Ihrem Handgelenk und ist sowohl für Damen als auch für Herren geeignet.;Armband, Panzer flach, Silber 925;6-fach diamantiert, Flachpanzer mit Muster
101039-50;;Diese total angesagte breite Panzerkette aus 925er Silber, 6-fach diamantiert, könnte sich schnell zu Ihrem Lieblingsstück entwickeln! Durch ihre hochglänzende Oberfläche strahlt sie wie ein Schatz an Ihrem Hals und ist sowohl für Damen als auch für Herren geeignet.;Kette Panzer flach, Muster, Silber 925;6-fach diamantiert, Flachpanzer
101041-50;;;Kette, Panzer 6x diam mit Muster, 925;6x diamantiert mit Muster auf der Vorderseite
101042-22;;;Armband, 17mm Panzer 6x diam, Silber 925;schweres 17x5mm breites Armband, sehr dekorativ mit großem Karabiner, 6x diamantiert
101042-60;;;Kette, 17mm Panzer 6x diam, Silber 925;schwere 17x5mm breite Halskette, sehr dekorativ mit großem Karabiner, 6x diamantiert in Echt Silber
101042-70;;;Kette, 17mm Panzer 6x diam, Silber 925;schwere 17x5mm breite Halskette, sehr dekorativ mit großem Karabiner, 6x diamantiert in Echt Silber
101044-19;;Dieses total angesagte breite Panzerarmband aus 925er Silber ist absolut hitverdächtig und könnte sich schnell zu Ihrem Lieblingsstück entwickeln! Durch seine hochglänzende Oberfläche strahlt es wie ein Schatz an Ihrem Handgelenk und ist sowohl für Damen als auch für Herren geeignet.;Armband, Panzer flach, Silber 925;6-fach diamantiert
101044-21;;Dieses total angesagte breite Panzerarmband aus 925er Silber ist absolut hitverdächtig und könnte sich schnell zu Ihrem Lieblingsstück entwickeln! Durch seine hochglänzende Oberfläche strahlt es wie ein Schatz an Ihrem Handgelenk und ist sowohl für Damen als auch für Herren geeignet.;Armband, Panzer flach, Silber 925;6-fach diamantiert
101044-45;;Diese total angesagte breite Panzerkette aus 925er Silber ist absolut hitverdächtig und könnte sich schnell zu Ihrem Lieblingsstück entwickeln! Durch ihre hochglänzende Oberfläche strahlt sie wie ein Schatz an Ihrem Handgelenk und ist sowohl für Damen als auch für Herren geeignet.;Kette, Panzer flach, Silber 925;6-fach diamantiert
101044-50;;Diese total angesagte breite Panzerkette aus 925er Silber, 6-fach diamantiert, ist absolut hitverdächtig und könnte sich schnell zu Ihrem Lieblingsstück entwickeln! Durch ihre hochglänzende Oberfläche strahlt sie wie ein Schatz an Ihrem Hals und ist sowohl für Damen als auch für Herren geeignet.;Kette, Panzer flach, Silber 925;6-fach diamantiert
101045-50;;Diese total angesagte breite Panzerkette aus 925er Silber, 6-fach diamantiert, ist absolut hitverdächtig und könnte sich schnell zu Ihrem Lieblingsstück entwickeln! Durch ihre hochglänzende Oberfläche strahlt sie wie ein Schatz an Ihrem Hals und ist sowohl für Damen als auch für Herren geeignet.;Kette Panzer flach, Silber 925;6-fach diamantiert
101049-19;;Dieses total angesagte breite Panzerarmband aus 925er Silber, 6-fach diamantiert, ist absolut hitverdächtig und könnte sich schnell zu Ihrem Lieblingsstück entwickeln! Als besonderes Highlight hat es ein gehämmertes Muster in der Mitte der Kettenglieder und durch seine hochglänzende Oberfläche strahlt es wie ein Schatz an Ihrem Handgelenk. Es ist sowohl für Damen als auch für Herren geeignet.;Armband Panzer flach, Muster, Silber 925;6-fach diamantiert, Flachpanzer
101049-45;;Diese total angesagte breite Panzerkette aus 925er Silber, 6-fach diamantiert, ist absolut hitverdächtig und könnte sich schnell zu Ihrem Lieblingsstück entwickeln! Als besonderes Highlight hat sie ein gehämmertes Muster in der Mitte der Kettenglieder und durch ihre hochglänzende Oberfläche strahlt sie wie ein Schatz an Ihrem Hals. Sie ist sowohl für Damen als auch für Herren geeignet.;Kette Panzer flach, Muster, Silber 925;6-fach diamantiert, Flachpanzer
101049-50;;Diese total angesagte breite Panzerkette aus 925er Silber, 6-fach diamantiert, ist absolut hitverdächtig und könnte sich schnell zu Ihrem Lieblingsstück entwickeln! Als besonderes Highlight hat sie ein gehämmertes Muster in der Mitte der Kettenglieder und durch ihre hochglänzende Oberfläche strahlt sie wie ein Schatz an Ihrem Hals. Sie ist sowohl für Damen als auch für Herren geeignet.;Kette Panzer flach, Muster, Silber 925;6-fach diamantiert, Flachpanzer
101351-36;;;Kette Panzer 2x diamantiert Silber 925;2x diamantiert
101351-50;;;Kette Panzer 2x diamantiert Silber 925;2x diamantiert
101401-27;;Fußkettchen 2x diamantiert mit 3 Ösen bei 23, 25 und 27cm, den Abschluss bildet eine 4mm Endkugel, Ein perfektes Schmuckstück für warme Sommertage!;Fußkette, Panzer, 3 Ösen, Silber 925;3 Ösen bei 23, 25 und 27cm, 4mm Endkugel, 2x diamantiert
101401-36;;Zarte Panzerkette, 1,4mm breit, 2-fach diamantiert aus 925er Silber zum kombinieren mit kleinen Anhängern oder auch separat als dezenter Schmuck zu tragen, ein Schmuckstück das in keinem Schmuckkästchen fehlen sollte!;Kette, Panzer 2x diamantiert Silber 925;2x diamantiert
101401-38;;Zarte Panzerkette, 1,4mm breit, 2-fach diamantiert aus 925er Silber zum kombinieren mit kleinen Anhängern oder auch separat als dezenter Schmuck zu tragen, ein Schmuckstück das in keinem Schmuckkästchen fehlen sollte!;Kette Panzer 2x diamantiert Silber 925;2x diamantiert
101401-40;;Zarte Panzerkette, 1,4mm breit, 2-fach diamantiert aus 925er Silber zum kombinieren mit kleinen Anhängern oder auch separat als dezenter Schmuck zu tragen, ein Schmuckstück das in keinem Schmuckkästchen fehlen sollte!;Kette Panzer 2x diamantiert Silber 925;2x diamantiert
101401-42;;Zarte Panzerkette, 1,4mm breit, 2-fach diamantiert aus 925er Silber zum kombinieren mit kleinen Anhängern oder auch separat als dezenter Schmuck zu tragen, ein Schmuckstück das in keinem Schmuckkästchen fehlen sollte!;Kette Panzer 2x diamantiert Silber 925;2x diamantiert
101401-45;;Zarte Panzerkette, 1,4mm breit, 2-fach diamantiert aus 925er Silber zum kombinieren mit kleinen Anhängern oder auch separat als dezenter Schmuck zu tragen, ein Schmuckstück das in keinem Schmuckkästchen fehlen sollte!;Kette Panzer 2x diamantiert Silber 925;2x diamantiert
101401-50;;Zarte Panzerkette, 1,4mm breit, 2-fach diamantiert aus 925er Silber zum kombinieren mit kleinen Anhängern oder auch separat als dezenter Schmuck zu tragen, ein Schmuckstück das in keinem Schmuckkästchen fehlen sollte!;Kette Panzer 2x diamantiert Silber 925;2x diamantiert
101401-60;;Zarte Panzerkette, 1,4mm breit, 2-fach diamantiert aus 925er Silber zum kombinieren mit kleinen Anhängern oder auch separat als dezenter Schmuck zu tragen, ein Schmuckstück das in keinem Schmuckkästchen fehlen sollte!;Kette Panzer 2x diamantiert Silber 925;2x diamantiert
101501-42;;;Kette, Panzer, 42cm, Silber 925;2-fach diamantiert
101501-45;;;Kette, Panzer, 45cm, Silber 925;2-fach diamantiert
101501-50;;;Kette, Panzer, 50cm, Silber 925;2-fach diamantiert
101501-55;;;Kette, Panzer, 55cm, Silber 925;2-fach diamantiert
101501-60;;;Kette, Panzer, 60cm, Silber 925;2-fach diamantiert
101601-45;;;Kette, Panzer 45cm, Silber 925;2x diamantiert
101601-50;;;Kette, Panzer 50cm, Silber 925;2x diamantiert
101601-55;;;Kette, Panzer 55cm, Silber 925;2x diamantiert
101601-60;;;Kette, Panzer 60cm, Silber 925;2x diamantiert
101601-90;;;Bauchkette, Panzer 90cm, Silber 925;Bikinikette, am Ende der Kette mit 3 Ösen im Abstand von 6cm und Endkugel 4mm, diamantiert
101801-19;;;Armband, Panzer 2x diamantiert, 925;2x diamantiert
101801-42;;;Kette Panzer 2x diamantiert Silber 925;-
101801-45;;;Kette Panzer 2x diamantiert Silber 925;2x diamantiert
101801-50;;;Kette Panzer 2x diamantiert Silber 925;2x diamantiert
101801-60;;;Kette Panzer 2x diamantiert Silber 925;2x diamantiert
101801-70;;;Kette Panzer 2x diamantiert Silber 925;2x diamantiert
102001-50;;Zeitlose Weitpanzerkette aus 925er Silber, 6-fach diamantiert. Sie hat eine hochglänzende Oberfläche und ist sowohl für Damen als auch für Herren geeignet.;Kette, Weitpanzer 6x diam, Silber 925;6x diamantiert
102010-50;;;Kette Weitpanzer 6x diam. Silber 925;6x diamantiert
102010-55;;;Kette Weitpanzer 6x diam. Silber 925;-
102010-60;;;Kette Weitpanzer 6x diam. Silber 925;-
102011-19;;;Armband, Weitpanzer 6x diam, Silber 925;-
102011-21;;;Armband Weitpanzer 6x diam, Silber 925;-
102011-45;;;Kette Weitpanzer 6x diam, Silber 925;6x diamantiert
102011-50;;;Kette Weitpanzer 6x diam, Silber 925;6x diamantiert
102011-55;;;Kette Weitpanzer 6x diam, Silber 925;6x diamantiert
102011-60;;;Kette Weitpanzer 6x diam, Silber 925;6x diamantiert
102012-55;;;Kette, Weitpanzer, 55cm, Silber 925;-
102012-60;;;Kette, Weitpanzer, 60cm, Silber 925;-
102013-27;;hochwertiges Fußkettchen, mit 3 Ösen bei 23, 25 und 27 cm, den Abschluss bildet eine 4mm Endkugel, die Kettenglieder der Weitpanzerkette bilden genug Platz zum Einhängen eines oder mehrerer Charms, Ein tolles Schmuckstück für warme Sommertage!;Fußkette, Weitpanzer, 3 Ösen, Silber 925;3 Ösen bei 23, 25 und 27cm mit Endkugel 4mm
102018-19;;;Armband, Weitpanzer, 19cm, Silber 925;6x diamantiert
102018-21;;;Armband, Weitpanzer, 21cm, Silber 925;6x diamantiert
102018-23;;;Armband, Weitpanzer, 23cm, Silber 925;6x diamantiert
102018-50;;;Kette, Weitpanzer, 50cm, Silber 925;6x diamantiert
102018-55;;;Kette, Weitpanzer, 55cm, Silber 925;6x diamantiert
