itemno;title;description;abe-title;abe-description
00003;necklace, square beads, black-red;This is an extraordinary chic necklace with four accentuating parts made of red 18 mm beads which are framed by black squares (30 x 30 mm). These parts are beautifully combined on a matte black aluminum anchor chain.;Kette, Viereck mit Perle, schwarz-rot;ausgefallenes Collier mit Kunststoffperle 18mm johannisbeer-rot im Kunststoffrahmen 30x30mm schwarz, kombiniert mit Aluminiumankerkette schwarz-matt
00005;Necklace, Black/ Red, Metallic, 80cm;This necklace is beautifully beaded of black and red beads. Handmade in Germany.;Kette, schwarz-rot metallic, 80cm;-
00009;Pendant, Pisces, Gold Plated;This pendant is a great personal gift as a symbolic zodiac sign pendant. The gold plated pisces pendant has a diameter of 20mm. The period of pisces lies between the 20 February and the 20 March. The backside is flat and glossy. The small eyelet is perfect for wearing the pendant on a thin, elegant chain. You can find a perfect chain necklace in our gold plated chain section. The pendant is well finished and has a great quality.;Sternzeichen, Fische, vergoldet;Hochwertiges Sternzeichen für ein ganz persönliches Geschenk! vergoldete Plakette, 20mm, Sternzeichen - Fische -, Rückseite flach und glänzend mit kleiner Öse
00010;;;Kette, Rillenolive blau silber-farbig;2-fach Kordel 0,6mm in schwarz, Olivenperle aus Kunststoff in verschiedenen blau-tönen, Oberfläche mit Rillen, Verschluss silber-farbig
00011;Pendant, Aquarius, Gold Plated;This pendant is a great personal gift as a symbolic zodiac sign pendant. The gold plated Aquarius pendant has a diameter of 20mm. The period of Aquarius lies between 21 January and 19 February. The backside is flat and glossy. The small eyelet is perfect for wearing the pendant on a thin, elegant chain. You can find a perfect chain necklace in our gold plated chain section. The pendant is well finished and has a great quality.;Sternzeichen, Wassermann, vergoldet;Hochwertiges Sternzeichen für ein ganz persönliches Geschenk! vergoldete Plakette, 20mm, Sternzeichen - Wassermann -, Rückseite flach und glänzend mit kleiner Öse
00014;Necklace, Faceted Beads, Green;This is a classy and sophisticated Y-shaped necklace with different shaped, marbled beads in colours of green and olive. They are nicely put on a fashionable grey coloured anchor chain. The overall length is 115 cm while the bottom pendant part is approximately 13 cm long. The necklace is designed and handmade in Germany.;Kette, Facettenperle oliv, Ankerkette;Collier in Y-Form mit verschiedenen facettierten oder marmorierten Perlen in oliv und mint, verbunden mit Ankerkette in grau-matt, Gesamtlänge 115cm, unteres Muster ca. 13cm
00016;Hook Earrings, Faceted Beads, Topas/ Yellow;A chic and modern pair of hook earrings of finest quality. The three faceted beads on the earring are well combined and the colours match great. A great complement for your jewellery case. Designed and handmade in Germany.;Ohrhaken, Facettenperle topas, gelb;-
00018;necklace eye-catching beads,green;This is a classy and sophisticated Y-shaped necklace with different shaped, marbled beads in colours of green and olive. They are nicely put on a fashionable green anchor chain. the overall length is 120 cm while the bottom pendant part is approximately 16 cm long.;Kette, Krokoperle grün Ankerkette;Collier in Y-Form mit verschiedenen facettierten oder marmorierten Perlen in grün seidig glänzend, verbunden mit Ankerkette in grün-matt, Gesamtlänge 120cm, unteres Muster ca.16cm lang
00021;Necklace, Mint-Green Beads, Silky Shimmering;A beautiful necklace of different shaped beads. The bead composition is thoughtfully composed to a great colour design of mint-green beads. The necklace looks chic and elegant and suits well to many different outfits. The clasp is silver coloured. This jewellery piece is handmade and designed in Germany.;Kette, Perle Barock, Seide-mint;sommerliches Collier mit mintfarbigen Perlen aus Kunststoff, Verschluss silber-farbig
00022;Clip Earrings, Orange-Marbled;A chic pair of clip earrings with a chic orange marbled design.;Clip, 18mm, gelb-orange-weiß marmoriert;Clip in modischem gelb-orange marmoriert, jedes Paar ein Unikat, Oberfläche glänzend, Bouton aus Kunststoff, Clipmechanik gebeizt
00024;Necklace, Beads, Chains & Organza, Blue;A unique necklace that is designed and handmade in Germany. The jewellery piece is composed of different blue tone elements as beads and plastic chains. The organza light blue textile as well as the blue marbled plastic bead elements are put together on a 2-fold, blue cord. There is no clasp on the necklace as it is long enough to be put on over the head.;Kette, blau-marmor, Panzerkette blau;hochwertige Kunststoffperlen (teilweise galvanisch verchromt) mit Organza hellblau
00027;Necklace, Crash Design Beads, Green;This is a classy and sophisticated Y-shaped necklace with different shaped, crash-design beads in colours of green and olive. They are nicely put on a fashionable grey coloured anchor chain. The overall length is 110 cm while the bottom pendant part is approximately 11 cm long. The necklace is designed and handmade in Germany.;Kette, Crash-Nugget mint, Ankerkette;Collier in Y-Form mit Crash-Perle 30mm in oliv-transparent, verschiedenen facettierten oder seidig-glänzenden Perlen in oliv und grün, Gesamtlänge 110cm, unteres Muster ca.11cm lang
00028;Necklace, Large Triangle, Yellow/ Dull;This is a stunning pendant necklace with a large yellow triangle pendant, that has a yellow and dull colour. The plastic pendant measures 97x28mm and it is yellow marbled/ matte-finished. The necklace is easily adjustable in its length, through two movable knots on its cord. The entire jewellery piece is handmade and designed in Germany.;Kette, großes Dreieck, gelb-marmoriert;auffälliges Collier mit Kunststoff-Dreieck, 97x28mm, gelb-marmoriert-matt, an Kordel gelb, längenverstellbar mittels Schiebeknoten
00029;;;Kette, Scheibe mit Blatt, grün-asi;Kordel mit Schiebeknoten, Anhänger dunkelgrün-altsilber
00030;Earrings, Blue/White Marbled, Oval;This is a perfect pair of earstuds. It has a blue marbled colour and it will look eyecatching and stunning for any occasion. A great pair to be combined with different models of our matching custome jewellery necklaces.;Stecker, oval, blau-weiß marmoriert;marmoriert
00031;;;Clip, blau weiss marmoriert;marmoriert
00032;Clip Earrings, Ceramic Style, Brown/Gold-Coloured/ Dull;This eyecatching pair of clip earrings has a beautiful marbled ceramic style design. The brown/gold-coloured marbeling looks elegant and chic. The quality of the earrings is great and the pair is perfect for people with sensitive or no pierced ear lobes.;Clip, Trapez, Stein braun-gold-matt;-
00035;Pendant, Aries, Gold Plated;This pendant is a great personal gift as a symbolic zodiac sign pendant. The gold plated Aries pendant has a diameter of 20mm. The period of Aries lies between 21 March and 20 April. The backside is flat and glossy. The small eyelet is perfect for wearing the pendant on a thin, elegant chain. You can find a perfect chain necklace in our gold plated chain section. The pendant is well finished and has a great quality.;Sternzeichen, Widder, vergoldet;Hochwertiges Sternzeichen für ein ganz persönliches Geschenk! vergoldete Plakette, 20mm, Sternzeichen - Widder -, Rückseite flach und glänzend mit kleiner Öse
00036;necklace lilac-pink plastic beads;This is a classy and sophisticated Y-shaped necklace with different shaped, marbled beads in colours of lavender, purple and pink. They are nicely put on a fashionable silver-coloured anchor chain.;Kette, fliederfarbig Ankerkette grau;Collier in Y-Form mit verschiedenen facettierten oder marmorierten Perlen in   fliederfarben und lila, verbunden mit Ankerkette grau-matt, Gesamtlänge 120cm, unteres Muster ca.15cm lang
00037;Necklace, Beads, Green/ Brown;This necklace is a wonderful jewellery piece, composed of green and brown marbled beads. The bead in the bottom middle measures 28x23mm and the disk bead has a diameter of 23mm. The cord is 0.6mm thin and olive coloured. It has two movable knots, which allow to easily adjust the length. The necklace is handmade and designed in Germany.;Kette, khaki-grün-marmoriert, glänzend;Collier mit hochwertigen sehr schön marmorierten Teilen in khaki-grün-marmoriert, Mittelteil 28x23mm, Scheibe 23mm, Kordel 0,6mm oliv, längenverstellbar mittels Schiebeknoten
00040;Necklace, White Beads 10mm, Glossy, 45cm;This necklace is classic and timeless for any time of the day. The white, round beads have a diameter of 10mm and the clasp is silver coloured and nickel free with a small extension chain for easily adjusting the length. A great accessory that should never be missing in your jewellery case.;Kette, Perle 10mm weiß-glänzend, 45cm;-
00043;necklace, turquoise beads;This is a classy and sophisticated Y-shaped necklace with different shaped, faceted beads in colours of turquoise and transparent. They are nicely put on a fashionable gray anchor chain. The overall length is 115 cm while the bottom pendant part is approximately 12 cm long.;Kette, türkis-kristall mit Ankerkette;Collier in Y-Form mit verschiedenen facettierten Perlen in türkis und kristall-transparent verbunden mit Aluminium-Ankerkette in grau-matt, Gesamtlänge 115cm, unteres Muster ca.12cm lang
00044;Necklace, Beads, 6mm, Amber-Coloured;A summery necklace of amber-coloured 6mm plastic beads. The clasp is gold-coloured and has a small extension chain for easily adjusting the length. The necklace is handmade and designed in Germany.;Kette, bernstein-farbig, kleine Perle;Collier mit kleinen unrunden Kunststoff-Perlen bernstein-farbig, Verschluss vergoldet mit Verlängerungskettchen
00048;Clip Earrings, Antique Silver;A beautiful pair of clip earrings in antique silver colour. The pattern on the earrings is fashionable and unique.;Clip, Trapez gewölbt, altsilber-gerillt;altsilber
00049;Pendant, Taurus, Gold Plated;This pendant is a great personal gift as a symbolic zodiac sign pendant. The gold plated Taurus pendant has a diameter of 20mm. The period of Taurus lies between 21 April and 20 May. The backside is flat and glossy. The small eyelet is perfect for wearing the pendant on a thin, elegant chain. You can find a perfect chain necklace in our gold plated chain section. The pendant is well finished and has a great quality.;Sternzeichen, Stier, vergoldet;Hochwertiges Sternzeichen für ein ganz persönliches Geschenk! vergoldete Plakette, 20mm, Sternzeichen - Stier -, Rückseite flach und glänzend mit kleiner Öse
00050;necklace, aqua-turquoise, white cord;This beautifully designed necklace has turquoise/blue and green/turquoise different shaped beads. They are beaded on a white cord (0.6 mm, 100 cm) which is adjustable in its length with the help of two movable knots. Sophisticated and eye-catching!;Kette, aqua-türkis, Kordel weiß;Collier mit verschiedenen Perlen in blau-türkis und grün-türkis, verbunden mit Kordel 0,6mm weiß, Gesamtlänge 100cm, variabel verstellbar mit Schiebeknoten
00051;necklace, light-green/olive, silky shining;A summary necklace with different decorative plasic beads in light-green, oliv-silk-shiny and light-green transparent on a two-folded silver-coloured wire which is synthetically coated. The clasp is silver-coloured with a chain for adjustments. Very fashionable and chic!;Kette, Viereck, hellgrün-oliv, seidig;sommerliches Collier mit verschiedenen dekorativen Kunststoff-Teilen in hellgrün, oliv-seidig-glänzend und hellgrün-transparent, auf 2-fach Draht silber-farbig, kunststoffummantelt, Verschluss silber-farbig mit Verlängerungskettchen
00053;Necklace, Bloom Beads and White Beads;Such an extraordinary design. The necklace is composed of different shaped white and white wax coloured synthetic beads. Some of the beads have very pretty bloom pattern. The beads have different diameters (6/10/12mm). The necklace doesn't have any clasp and is very long. It can therefore even be worn as a belt. It is handmade and designed in Germany.;Kette, Blütenperle WW, offen;ausgefallenes Collier mit Kunststoff-Perlen 6/10/12mm weiß und wachsweiss, ohne Verschluss auch als Gürtel zu tragen
00054;;;Kette, Perle stahlblau-silberfarbig;blaue Kunststoff-Perlen 8mm, silber-farbige Perlen 4mm
00056;Necklace, Beads, Light Blue;A summery necklace with light blue 8mm plastic beads and small silver-coloured 4mm beads. The clasp is silver coloured and has a small extension chain for easily adjusting the length. The necklace is handmade in Germany.;Kette, Perle azurblau-seide;sommerliches Collier mit Kunststoffperlen hellblau 8mm, und silberfarbig überzogen Perlen 4mm, Verschluss silber-farbig mit Verlängerungskettchen
00061;;;Kette, Perlen beige-marmor-matt;Perlen 8/10mm, 5x Olive je 26x16mm, Kunststoff, Verschluss vergoldet
00062;necklace, square beads, pink-grey;This beautifully designed necklace has pink/gray marbled squared beads on a black cord which is adjustable in its length with the help of two movable knots. Sophisticated and eye-catching!;Kette, Viereck pink-grau, Kordel grau;Collier mit Viereckperle 25x25mm in pink-grau-marmoriert, farblich abgestimmte  Perlen in pink-marmoriert oder seidig-glänzen, Kordel 0,6mm grau, Gesamtlänge 105cm, variabel verstellbar durch Schiebeknoten
00063;Hook Earrings, Zebra style, White/Black bead;An outstanding pair of hook earrings that are design in zebra colours and style. The earrings suit perfectly in nowadays animal pattern fashion. Don't miss the chance of getting on of these!;Ohrhaken, Wellenperle schwarz-weiß;weiße Perle mit Wellenlinie in schwarz, Ohrhaken silber-farbig, Gesamtgröße mit Haken 42x17mm
00066;Necklace, Blue/ Silver Coloured Pendant;This necklace is a perfect accessory for this year's fall and winter fashion. The metal pendant, which is sophisticatedly crafted has an enameled surface. The pendant measures 33x22mm and it has a dark blue colour with a silver coloured design. The two-fold blue cord has a silver coloured clasp with a small extension chain for easily adjusting the length. The necklace is handmade and designed in Germany.;Kette, blau-silber kristall, Email;Collier passend zur aktuellen Herbst- und Wintermode, kunstvoll gefertigter Metallanhänger mit emaillierter Oberfläche, 33x22mm, dunkelblau mit silber, an 2-fach Kordel blau, Verschluss silber-farbig mit Verlängerungskettchen
00067;Hook Earrings, grey/black marbled beads;This is an eyecatching pair of hook earrings. The beads have a grey/black marbled design and the shape of the earrings is slanted. The earrings are perfectly suitable for everyday occasions as well as for elegant events and evening dresses. The dark colour makes the pair stand out and look unique.;Ohrhaken, Schrägperle silbergrau-schwarz;Ohrhaken mit Kunststoff-Schrägperle 20x15mm silbergrau-schwarz-marmoriert, Haken aus Messing weißbronce
00068;Necklace, Beads, 6mm, Olive/ Dull;This piece of jewellery is classic and should never be missing in a womans jewellery case. A timeless beaded necklace with 6mm plastic beads, which are dull and olive coloured. The clasp is gold-coloured and has a small extension chain for easily adjusting the length. The necklace is handmade and designed in Germany.;Kette, 6mm Perlen, oliv-matt;zeitloses Collier mit 6mm Kunststoffperlen oliv-matt, Verschluss vergoldet mit Verlängerungskettchen
00071;Pendant, Gemini, Gold Plated;This pendant is a great personal gift as a symbolic zodiac sign pendant. The gold plated Gemini pendant has a diameter of 20mm. The period of Gemini lies between 21 May and 21 June. The backside is flat and glossy. The small eyelet is perfect for wearing the pendant on a thin, elegant chain. You can find a perfect chain necklace in our gold plated chain section. The pendant is well finished and has a great quality.;Sternzeichen, Zwilling, vergoldet;Hochwertiges Sternzeichen für ein ganz persönliches Geschenk! vergoldete Plakette, 20mm, Sternzeichen - Zwilling -, Rückseite flach und glänzend mit kleiner Öse
00072;Pendant, Cancer, Gold Plated;This pendant is a great personal gift as a symbolic zodiac sign pendant. The gold plated Cancer pendant has a diameter of 20mm. The period of Cancer lies between 22 June and 22 July. The backside is flat and glossy. The small eyelet is perfect for wearing the pendant on a thin, elegant chain. Find a wonderful gold plated chain necklace in our gold plated assortment of chains and necklaces. The pendant is well finished and has a great quality.;Sternzeichen, Krebs, vergoldet;Hochwertiges Sternzeichen für ein ganz persönliches Geschenk! vergoldete Plakette, 20mm, Sternzeichen - Krebs -, Rückseite flach und glänzend mit kleiner Öseemailliert
00073;;;Clip, Dreieck, bicolor, Email;-
00074;;;Sternzeichen, Löwe, vergoldet;Hochwertiges Sternzeichen für ein ganz persönliches Geschenk! vergoldete Plakette, 20mm, Sternzeichen - Löwe -, Rückseite flach und glänzend mit kleiner Öseemailliert
00077;necklace, beads, turquoise-olive;Fashionable and chic! This necklace is beaded on a black cord. The turquoise-olive colours are colour coordinated and the length can easily be adjusted by two movable knots. Suitable on a nice blouse or a shirt for fancy occasions or casual everyday life!;Kette, oliv-türkis-marmoriert glänzend;Collier mit hochwertigen sehr schön marmorierten Teilen in oliv-türkis-marmoriert, Mittelteil 27x23mm, Scheibe 23mm, Kordel 0,6mm oliv, längenverstellbar mittels Schiebeknoten
00079;necklace, heart lapis-marbled;This necklace is beautiful and stunning. It has a dark-blue-marbled heart pendant. The dark-blue cord is 4-fold and closed by a gold-plated, nickel-free clasp which has a small extension chain for easily adjusting the length.;Kette, Herz blau-marmoriert;Kunststoff-Herz, 49x39mm, lapiz-gold-marmoriert an 4-fach Kordel dunkelblau, Verschluss gold-farbig mit Verlängerungskettchen
00080;Pendant, Virgo, Gold Plated;This pendant is a great personal gift as a symbolic zodiac sign pendant. The gold plated Virgo pendant has a diameter of 20mm. The period of Virgo lies between 24 August and 23 September. The backside is flat and glossy. The small eyelet is perfect for wearing the pendant on a thin, elegant chain. Find a wonderful gold plated chain necklace in our gold plated assortment of chains and necklaces. The pendant is well finished and has a great quality.;Sternzeichen, Jungfrau, vergoldet;Hochwertiges Sternzeichen für ein ganz persönliches Geschenk! vergoldete Plakette, 20mm, Sternzeichen - Jungfrau -, Rückseite flach und glänzend mit kleiner Öse
