month	fnsku	sku	product-name	average-quantity	end-quantity	fulfillment-center-id	detailed-disposition	country
09/2014	X0008VZ6IF	00338	Necklace dark red marbled beads	0.03	1	LTN2	SELLABLE	GB
09/2014	X000A60A4N	00902	CHAIN, BEADS ROSE-PINK 8MM, 50CM 50CM	0.7	3	LTN1	SELLABLE	GB
09/2014	X0008WBK7F	00668	CLIP EARRINGS, OLIVE/ GREEN/ TURQUOISE	1.17	5	LTN1	SELLABLE	GB
09/2014	X000A60A8J	00892	CHAIN, BEADS ROSE-PINK 8MM, 45CM 45CM	0.7	3	LTN1	SELLABLE	GB
09/2014	X000A609RV	02032	Necklace rings 13mm black-white 45cm	0.47	2	LTN1	SELLABLE	GB
09/2014	X000A60AS9	02145	Necklace baroque beads 8mm red-black 55cm	0.47	2	LTN1	SELLABLE	GB
09/2014	X000A603UJ	00259	Earrings clip-on trapezium pink-marbled	0.7	3	LTN1	SELLABLE	GB
09/2014	X000A61GOL	00868	CHAIN, WHITE-TRANSPARENT, 45CM 45CM	0.47	2	LTN1	SELLABLE	GB
09/2014	X000A60ABL	00885	CHAIN, BEADS ROSE-PINK 8MM, 42CM 42CM	0.7	3	LTN1	SELLABLE	GB
09/2014	X0008WBK61	00797	CLIP EARRINGS, OLIVE/ GREEN/ BROWN COLOURED	1.17	5	LTN1	SELLABLE	GB
09/2014	X000A61H6N	00255	Necklace cat silver-coloured-antique 90cm	0.7	3	LTN1	SELLABLE	GB
09/2014	X000A6092B	06274	Necklace elephant white-gold-coloured 90cm	0.7	3	LTN1	SELLABLE	GB
09/2014	X000A609L7	00601	Necklace black 50cm 50cm	0.47	2	LTN1	SELLABLE	GB
09/2014	X000A604K3	02813	Earrings clip-on trapezium green-yellow	0.7	3	LTN1	SELLABLE	GB
09/2014	X000A609HB	00605	Necklace black 80cm 80cm	0.47	2	LTN1	SELLABLE	GB
09/2014	X000A608D1	07161	Earrings clip-on trapezium grey-silver	0.7	3	LTN1	SELLABLE	GB
09/2014	X0006JYYV9	00364	Necklace beads 8mm red shiny 45cm	1.13	4	LTN1	SELLABLE	GB
09/2014	X0006JYZ6N	01130	Necklace elephant orange marbled 90cm	1.17	5	LTN1	SELLABLE	GB
09/2014	X000A61GH3	03683	Necklace beads 12mm black shiny 50cm	0.47	2	LTN1	SELLABLE	GB
09/2014	X0008VNVC3	02631	Earring clip-on 18mm pink	1.17	5	LTN1	SELLABLE	GB
09/2014	X000A61GL9	00392	Necklace beads shiny black 88cm	0.47	2	LTN1	SELLABLE	GB
09/2014	X000765RIF	03083	Earring clip-on trapezium red marbled	0.7	3	LTN1	SELLABLE	GB
09/2014	X0006JYZ63	02046	Necklace beads white 50cm	0.47	2	LTN1	SELLABLE	GB
09/2014	X0008VNVFP	02746	Earring clip-on round pearly plastic	1.17	5	LTN1	SELLABLE	GB
09/2014	X000A60AON	00913	CHAIN, BEADS LILAC-PURPLE 10MM, 45CM 45CM	0.7	3	LTN1	SELLABLE	GB
09/2014	X000A61GX7	01654	Necklace 48cm	0.47	2	LTN1	SELLABLE	GB
09/2014	X0006L3W65	00582	Collier plastic beads red-shiny 42cm	1.17	5	LTN1	SELLABLE	GB
09/2014	X000A607PP	06188	Earrings clip-on trapezium antique-look	0.7	3	LTN1	SELLABLE	GB
09/2014	X000A608WH	01902	Necklace tetragonal beads white 45cm	0.3	1	LTN1	SELLABLE	GB
09/2014	X0008VNSKX	01164	Earring clip-on trapezium orange-grey	0.7	3	LTN1	SELLABLE	GB
09/2014	X000A60AG1	00923	CHAIN, WITH PURPLE BEADS 10MM, 42CM 42CM	0.7	3	LTN1	SELLABLE	GB
09/2014	X000A604AX	01046	Clip earrings trapezium brown marbled/ dull	0.7	3	LTN1	SELLABLE	GB
09/2014	X0007P4U93	00107	Necklace white beads 10mm glossy 40cm	1.17	5	LTN1	SELLABLE	GB
09/2014	X000A6041H	00881	Earrings clip-on black-metallic	1.17	5	LTN1	SELLABLE	GB
09/2014	X000A6071J	04536	Clip earrings trapezium green-marbled	0.7	3	LTN1	SELLABLE	GB
09/2014	X000A604EJ	01079	Earrings clip-on trapezium light green	0.7	3	LTN1	SELLABLE	GB
09/2014	X000A60AKH	00925	CHAIN, WITH PURPLE BEADS 10MM, 50CM 50CM	0.7	3	LTN1	SELLABLE	GB
09/2014	X000A60APR	00609	Necklace red 80cm 80cm	0.47	2	LTN1	SELLABLE	GB
09/2014	X000A60AMF	00911	CHAIN, BEADS LILAC-PURPLE 10MM, 50CM 50CM	0.7	3	LTN1	SELLABLE	GB
09/2014	X0005YOCUX	90306	Pendant lion silver 925	0.7	3	LTN1	SELLABLE	GB
09/2014	X0007P4UJD	00040	Necklace white beads 10mm glossy 45cm	1.17	5	LTN1	SELLABLE	GB
09/2014	X0008VNVWN	00846	Earring clip-on trapezium white-marbled	1.17	5	LTN1	SELLABLE	GB
09/2014	X0005YOEGF	06183	Earring clip-on trapezium white matte	2.33	10	LTN1	SELLABLE	GB
09/2014	X000A61H95	02340	Necklace beads 20mm yellow-shiny 50cm	0.47	2	LTN1	SELLABLE	GB
09/2014	X0003R7RHR	92648	Pendant eye of horus silver 925	1.03	4	LTN1	SELLABLE	GB
09/2014	X000A604H1	02566	Earrings clip-on trapezium brown marbled	0.7	3	LTN1	SELLABLE	GB
09/2014	X000A607G9	05097	Earring clip-on trapezium purple	0.7	3	LTN1	SELLABLE	GB
09/2014	X000A609UD	06621	Necklace beads 10mm black 45cm	0.47	2	LTN1	SELLABLE	GB
09/2014	X000A607CD	04697	Earrings clip-on trapezium light-purple	0.7	3	LTN1	SELLABLE	GB
09/2014	X0008VNS5X	04856	Earring clip-on trapezium red-black	0.03	0	CWL1	SELLABLE	GB
09/2014	X0008VNS5X	04856	Earring clip-on trapezium red-black	0.07	0	GLA1	SELLABLE	GB
09/2014	X0005JP26L	00468	Necklace elephant black-gold-coloured 50cm	0.03	0	GLA1	SELLABLE	GB
09/2014	X0003R7ROF	90201	Pendant friendship yin-yang silver 925	3.03	5	LTN1	DEFECTIVE	GB
09/2014	X0003R7REF	92376	Pendant thor's hammer silver 925	0.03	0	GLA1	SELLABLE	GB
09/2014	X0003Q8HM7	00270	Necklace giraffe antique-silver 90cm	2.0	2	LTN1	SELLABLE	GB
