itemno;title;description;gallay title;gallay description
430002;earrings, studs, ginkgo leaf, 9K GOLD;A chic pair of ginkgo leaf ear studs that suit for any occasion, 9K gold.;earrings, studs, ginkgo leaf, 9K GOLD;
430003;;;pendant, flying angel, 9Kt GOLD;matt finished
430005;earrings ginkgo leaf, 8K GOLD;A beautiful pair of ear studs. Shaped as gingko leafs with a shiny surface they are a perfect neutral accessory for any occasion. 8K gold;earrings ginkgo leaf, 8K GOLD;
430006;earrings dolphin, 8K GOLD;A charming pair of dolphin ear studs for any occasion, formal or casual. 8K Gold.;earrings dolphin, 8K GOLD;
430008;;;earring studs, flying angel, 9Kt GOLD;matt finished
430012;pendant cross, diamond cut, 9K GOLD;This is a delicate and sophisticated cross pendant with a chic diamond cut on the surface. It is beautifully crafted and suitable for any fancy occasion. 9K gold;pendant cross, diamond cut, 9K GOLD;
430014;EARRINGS, WHITE ZIRCONIA, HEART, 9K GOLD;;earrings white zirconia heart, 9K GOLD;
430015;;;hoop earrings 12mm, 9K GOLD;very small hoop earrings
430017;pendant dolphin, 9K GOLD;An elegantly simple dolphin pendant for children or adults, for festivities or everyday life. 9K gold;pendant dolphin, 9K GOLD;hollow inside, small pendant
430022;pendant two tone with zirconia 9K GOLD;This is a beautiful bi-coloured pendant with zirconia in the middle and a chic design. The pendant is suitable for a pretty woman on a fancy occasion! 9K Gold;pendant two tone with zirconia 9K GOLD;
430023;earrings two tone with zirconia 9K GOLD;Jazzy and glamorous bicolour ear studs with a unique design and zirconia accents in the middle. 9K gold;earrings two tone with zirconia 9K GOLD;
430025;;;leverback earring flying angel, 9Kt GOLD;matt finished
430026;earrings cross with diamond cut 9K GOLD;Chic cross ear studs with a sophisticated diamond cut and a combination of shiny and dull surfaces. 9K gold;earrings cross with diamond cut 9K GOLD;
430029;earrings zirconia white 4mm, 9K GOLD;Glamorous ear studs with white zirconia. A must for every woman. 4mm, 9K gold;earrings zirconia white 4mm, 9K GOLD;
430030;Nose Screw, Zirconia, 3mm, 18K Gold;A high quality, elegant nose screw of white cubic zirconia. The 18K Gold screw is beautifully finished. The nose screw has a great quality and will never cause any skin or health problems. A wonderful gift for a special person. 18K Gold.;nose screw, zirconia 3mm, 18K GOLD;
430033;Earrings, Balls, 3mm, 9K Gold;A cute and elegant pair of ball ear studs, small but outstanding! 3mm, 9K gold;earrings balls 3mm, 9K GOLD;hollow inside
430034;Earrings, Balls, 4mm, 9K Gold;A cute and elegant pair of ball ear studs, small but outstanding! 4mm, 9K gold;earrings balls, about 4mm, 9K GOLD;hollow inside
430035;earrings balls 5mm, 9K GOLD;A cute and elegant pair of ball ear studs, simple but outstanding! 5mm, 9K gold;earrings balls 5mm, 9K GOLD;hollow inside
430037;pendant, small rabbit, 9K GOLD;This is an adorable pendant, shaped as a small rabbit with black eyes and a matte-finished belly. Suitable for the young and the young at heart! 9K gold;pendant, small rabbit, 9K GOLD;kids jewellery, small pendant
430040;hoop earrings 15mm, 9K GOLD;A delicate and sophisticated pair of hoop earrings with diamond cuts and a shiny surface. An eye catcher on any occasion, 9K gold.;hoop earrings 15mm, 9K GOLD;small hoop earrings
430041;Hoop Earrings, 13mm, 9K Gold;A wonderfully finished pair of hoop earrings, with a friction clasp and with a vaulted surface. The hoop earrings can be used in a second or third ear lobe piercing. The 9K Gold is of great quality and the diameter of the hoops amounts to 13mm.;hoop earrings 13mm, 9K GOLD;small hoop earrings
430043;earrings zirconia 3mm, 9K GOLD;A pair of stunning zirconia ear studs. Beautifully shining out on every occasion. 3mm, 9K gold;earrings zirconia 3mm, 9K GOLD;
430044;nose screw, star with zirconia, 14K GOLD;This is a chic nose screw shaped as a golden star with zirconia in the middle. Sophisticated and high-qualitative. The length is 5.5 mm. 14K gold.;nose screw, star with zirconia, 14K GOLD;
430045;NOSE SCREW, CUBIC ZIRCONIA, 3MM, 14K GOLD,  NEW;;nose screw, zirconia 3mm, 14K GOLD;
430047;earrings with movable zirconia, 9K GOLD;Beautiful unique ear studs with movable zirconia balls. An attractive accessory for celebreties and events! 9K gold;earrings with movable zirconia, 9K GOLD;
