itemno;title;description;abe-title;abe-description
201005-19;;;Armband, Panzerkette 2x diamantiert, AMD;-
201005-45;;;Kette, Panzerkette 2x diamantiert, AMD;-
201005-50;;;Kette, Panzerkette 2x diamantiert, AMD;-
201005-55;;;Kette, Panzerkette 2x diamantiert, AMD;-
201006-21;;;Armband, Panzerkette 2x diamantiert AMD;-
201006-23;;;Armband, Panzerkette 2x diamantiert AMD;-
201006-50;;;Kette, Panzerkette 2x diamantiert, AMD;-
201351-36;Necklace, Thin Curb Chain, Gold Plated;This thin curb chain is perfect as a pendant chain for one of our Gold pendants. It has a great finish and long lasting quality.;Kette, Panzerkette 2x diamantiert AMD;2x diamantiert
201351-38;Necklace, Thin Curb Chain, Gold Plated;This thin curb chain is perfect as a pendant chain for one of our Gold pendants. It has a great finish and long lasting quality.;Kette, Panzerkette 2x diamantiert AMD;2x diamantiert
201351-40;;;Kette, Panzerkette 2x diamantiert AMD;2x diamantiert
201351-42;Thin Curb Chain, Gold Plated;This thin curb chain is perfect as a pendant chain for one of our Gold pendants. It has a great finish and long lasting quality.;Kette, Panzerkette 2x diamantiert AMD;-
201351-45;;;Kette, Panzerkette 2x diamantiert AMD;-
201351-50;;;Kette, Panzerkette 2x diamantiert AMD;2x diamantiert
201401-27;Ankle Chain, Gold Plated (Curb Chain);A cute ankle chain, which is gold plated and beautifully finished. It will give a great touch to your new pair of sandals or ballerina for the summer.;Fußkette, Panzer diamantiert, AMD;3 Ösen bei 23, 25 und 27cm mit Endkugel 4mm, diamantiert
201401-40;Thin Curb Chain, Diamond Cut, Gold Plated;A wonderful thin curb chain, which is perfect for pendants. Every curb chain link has two fine diamond cuts, which make up an elegant design of the entire necklace chain.;Kette, Panzerkette 2x diamantiert AMD;2x diamantiert
201401-42;Thin Curb Chain, Diamond Cut, Gold Plated;A wonderful thin curb chain, which is perfect for pendants. Every curb chain link has two fine diamond cuts, which make up an elegant design of the entire necklace chain.;Kette, Panzerkette, gold-plattiert;2x diamantiert
201401-45;Thin Curb Chain, Diamond Cut, Gold Plated;A wonderful thin curb chain, which is perfect for pendants. Every curb chain link has two fine diamond cuts, which make up an elegant design of the entire necklace chain.;Kette, Panzerkette 2x diamantiert AMD;2x diamantiert
201401-50;Thin Curb Chain, Diamond Cut, Gold Plated;A wonderful thin curb chain, which is perfect for pendants. Every curb chain link has two fine diamond cuts, which make up an elegant design of the entire necklace chain.;Kette, Panzerkette 2x diamantiert AMD;2x diamantiert
201401-55;Thin Curb Chain, Diamond Cut, Gold Plated;A wonderful thin curb chain, which is perfect for pendants. Every curb chain link has two fine diamond cuts, which make up an elegant design of the entire necklace chain.;Kette, Panzerkette 2x diamantiert AMD;2x diamantiert
201401-60;Thin Curb Chain, Diamond Cut, Gold Plated;A wonderful thin curb chain, which is perfect for pendants. Every curb chain link has two fine diamond cuts, which make up an elegant design of the entire necklace chain.;Kette, Panzerkette 2x diamantiert AMD;2x diamantiert
201501-100;belly chain, curb chain, gold plated;This gorgeous chain is 100 cm long. The three incorporated rings have a 6 cm distance from each other. The end of the chain, which is adjustable has a tiny ball-pendant (4 mm). Gold plated.;Bauchkette, Panzer 2x diamantiert, AMD;Bikinikette 100cm, am Ende der Kette mit 3 Ösen im Abstand von 6cm und Endkugel 4mm, 2x diamantiert
201501-19;;;Armband, Panzer, 2x diam, FR, AMD;2x diamantiert
201501-42;Curb Chain, Diamond Cut, Gold Plated;A wonderful curb chain, which is perfect for pendants. Every curb chain link has two fine diamond cuts, which make up an elegant design of the entire necklace chain.;Kette, Panzer 2x diamantiert, AMD;2x diamantiert
201501-45;Curb Chain, Diamond Cut, Gold Plated;A wonderful curb chain, which is perfect for pendants. Every curb chain link has two fine diamond cuts, which make up an elegant design of the entire necklace chain.;Kette, Panzer 2x diamantiert, AMD;2x diamantiert
201501-50;Curb Chain, Diamond Cut, Gold Plated;A wonderful curb chain, which is perfect for pendants. Every curb chain link has two fine diamond cuts, which make up an elegant design of the entire necklace chain.;Kette, Panzer 2x diamantiert, AMD;2x diamantiert
201501-55;;;Kette, Panzer 2x diamantiert, AMD;2x diamantiert
201501-60;Curb Chain, Diamond Cut, Gold Plated;A wonderful curb chain, which is perfect for pendants. Every curb chain link has two fine diamond cuts, which make up an elegant design of the entire necklace chain.;Kette, Panzer 2x diamantiert, AMD;2x diamantiert
201501-70;Curb Chain, Diamond Cut, Gold Plated;A wonderful curb chain, which is perfect for pendants. Every curb chain link has two fine diamond cuts, which make up an elegant design of the entire necklace chain.;Kette, Panzer 2x diamantiert, AMD;2x diamantiert
201501-90;Belly chain, gold plated (Curb chain);A cute belly chain, which is gold plated and beautifully finished as a curb chain. It will give a great touch to your new summer dress, your bikini look or as a belt substitute.;Bauchkette, Panzer 2x diamantiert, AMD;Bikinikette 90cm, am Ende der Kette mit 3 Ösen im Abstand von 6cm und Endkugel 4mm, 2x diamantiert, ca. 6,2g
201601-50;Curb Chain, Gold Plated;This curb chain is perfect as a pendant chain for one of our Gold pendants. It has a great finish and long lasting quality.;Kette, Panzerkette 2x diamantiert, AMD;2x diamantiert
201601-60;;;Kette, Panzerkette 2x diamantiert, AMD;-
201801-19;Bracelet, Curb Chain, Diamond Cut, Gold Plated;This bracelet is a beautiful curb chain with a fine diamond cut, twice on every chain link. The bracelet looks elegant and has a highly qualitative finish. A wonderful gift for a special person.;Armband, Panzer 2x diamantiert, AMD;-
201801-21;Bracelet, Curb Chain, Diamond Cut, Gold Plated;This bracelet is a beautiful curb chain with a fine diamond cut, twice on every chain link. The bracelet looks elegant and has a highly qualitative finish. A wonderful gift for a special person.;Armband, Panzer 2x diamantiert, AMD;-
201801-40;;;Kette, Panzerkette 2x diamantiert, AMD;-
201801-42;Curb Chain, 2.6mm, Diamond Cut, Gold Plated;A wonderful curb chain, which is perfect for pendants. Every curb chain link has two fine diamond cuts, which make up an elegant design of the entire necklace chain.;Kette, Panzerkette 2x diamantiert, AMD;-
201801-45;;;Kette, Panzerkette 2x diamantiert AMD;-
201801-50;Curb Chain, 2.6mm, Diamond Cut, Gold Plated;A wonderful curb chain, which is perfect for pendants. Every curb chain link has two fine diamond cuts, which make up an elegant design of the entire necklace chain.;Kette, Panzerkette 2x diamantiert AMD;-
