itemno;title;description;gallay title;gallay description
101000-23;ID Bracelet, Open Curb Chain, Silver 925;This ID bracelet can be a wonderful symbolic gift for someone special. The ID plate is great for engravings and the open curb chain looks chic and unique. Every link of the bracelet has a fine diamond cut. Silver 925.;ID bracelet, open curb chain, silver 925;
101001-25;Ankle Chain, Angel Wing Tag, Silver 925;This jewellery piece is an adorable ankle chain of finest craftsmanship. The chain has two small eyelets, which make the length of the ankle chain either 23cm or 25cm. The angel wing is a symbol for protection and jewellery piece is therefore a great gift with a meaningful thought. Silver 925.;ankle chain, angel wing tag, silver 925;adjustable 23cm and 25cm
101003-19;Bracelet, Flat Curb Chain, Silver 925;This bracelet is a very flat curb chain. It´s only 1 mm thick and looks therefore delicate and chic on your arm! Silver 925;bracelet, curb chain, 19cm, silver 925;very flat chain, thickness only 1mm
101003-45;Flat Curb Chain, Silver 925;This necklace is a very flat curb chain. It´s only 1 mm thick and looks therefore delicate and chic around your neck! Silver 925;flat curb chain, 45cm, silver 925;very flat chain, thickness only 1mm
101003-50;Flat Curb Chain, Silver 925;This necklace is a very flat curb chain. It´s only 1 mm thick and looks therefore delicate and chic around a woman's neck! Silver 925;flat curb chain, 50cm, silver 925;very flat chain, thickness only 1mm
101003-55;Flat Curb Chain, Silver 925;This necklace is a very flat curb chain. It´s only 1 mm thick and looks therefore delicate and chic around your neck! Silver 925;flat curb chain, 55cm, silver 925;very flat chain, thickness only 1mm
101003-60;Flat Curb Chain, Silver 925;This necklace is a very flat curb chain. It is only 1 mm thick and has two nice diamond cuts which make the necklace look for sure delicate and chic around your neck! Silver 925;flat curb chain, 60cm, silver 925;very flat chain, thickness only 1mm
101003-70;Flat Curb Chain, Silver 925;This necklace is a very flat curb chain. It´s only 1 mm thick and looks therefore delicate and chic around a woman's neck! Silver 925;flat curb chain, 70cm, silver 925;very flat chain, thickness only 1mm
101013-19;ID Bracelet, Curb Chain, Silver 925;This ID bracelet can be a wonderful symbolic gift for a special occasion of any child. The ID plate is great for engravings and the curb chain looks very pretty. The plate measures 4.8x48mm. Every link of the bracelet has a fine diamond cut. Silver 925.;ID bracelet, curb chain, silver 925;kids, high polished engraving plate 4,8x48mm
101013-21;ID Bracelet, Curb Chain, Silver 925;This ID bracelet can be a wonderful symbolic gift for a special occasion of any person. The ID plate is great for engravings and the curb chain looks very pretty. Every link of the bracelet has a fine diamond cut. The plate measures 4.8x48mm. Silver 925.;ID bracelet, curb chain, silver 925;
101016-45;;;curb chain 4mm, flat, silver 925;
101016-50;;;curb chain 4mm, flat, silver 925;
101019-19;bracelet, curb chain 4mm, silver 925;This is a beautiful and sophisticated bracelet with a doubled diamond cut. It is 4 mm thick and made of high quality silver 925.;bracelet, curb chain 4mm, silver 925;
101019-21;bracelet, curb chain 4mm, silver 925;This is a beautiful and sophisticated bracelet with a doubled diamond cut. It is 4 mm thick and made of high quality silver 925.;bracelet, curb chain 4mm, silver 925;
101019-50;curb chain 4mm, silver 925;This is a beautiful and sophisticated necklace with a doubled diamond cut. It is 4 mm thick and made of high quality silver 925.;curb chain 4mm, silver 925;
101019-55;curb chain 4mm, silver 925;This is a beautiful and sophisticated necklace with a doubled diamond cut. It is 4 mm thick and made of high quality silver 925.;curb chain 4mm, silver 925;
101020-21;ID Bracelet, Curb Chain, Silver 925;This ID bracelet can be a wonderful symbolic gift for a special occasion of any person. The ID plate is great for engravings and the curb chain looks very pretty. Every link of the bracelet has a fine diamond cut. The plate measures 7x46mm. Silver 925.;ID bracelet, curb chain, silver 925;high polished, engraving plate 46x7mm
101021-21;ID Bracelet, Heavy Curb Chain, Silver 925;This highly polished bracelet for engravings is of high quality and has a wonderful finish in every detail. The bracelet is perfect for birtdays, namesdays or christmas, especially if your present shall be personalized and have 'the extra touch'. Silver 925.;ID bracelet,heavy curb chain, silver 925;high polished engraving plate
101038-19;ID Bracelet, Curb Chain, Silver 925;This ID bracelet can be a wonderful symbolic gift for a special occasion of any child. The ID plate is great for engravings and the curb chain looks very pretty. Every link of the bracelet has a fine diamond cut. The plate measures 6.2x49mm. Silver 925.;ID bracelet, curb chain, silver 925;kids, high polished engraving plate 6,2x49mm
101038-21;ID Bracelet, Curb Chain, Silver 925;This ID bracelet can be a wonderful symbolic gift for a special occasion of any child. The ID plate is great for engravings and the curb chain looks very pretty. Every link of the bracelet has a fine diamond cut. The plate measures 6.2x49mm. Silver 925.;ID bracelet, curb chain, silver 925;
101039-21;Bracelet, Open Curb Chain, Silver 925;This is a wonderful open curb chain bracelet with a scratch design surface. The bracelet looks chic and classic! Silver 925.;bracelet, open curb chain, silver 925;scratch design
101039-50;Necklace, Open Curb Chain, Silver 925;This is a wonderful open curb chain necklace with a scratch design surface. The necklace looks chic and classic! Silver 925.;necklace, open curb chain, silver 925;scratch design
101041-50;NECKLACE, CURB CHAIN, SILVER 925, 50CM;;curb chain, silver 925;scratch design
101042-22;BRACELET, CURB CHAIN, 17MM, SILVER 925, 22CM;;bracelet, flat curb chain, silver 925;
101042-60;NECKLACE, 17MM CURB CHAIN, SILVER 925, 60CM;;chain, 17mm curb chain, silver 925;flat and heavy
101042-70;;;chain, 17mm curb chain, silver 925;flat and heavy
101044-19;Bracelet, Open Curb Chain, Silver 925;This is a wonderful open curb chain bracelet with a well finished surface. The bracelet looks chic and classic! Silver 925.;bracelet, open curb chain, silver 925;
101044-21;Bracelet, Open Curb Chain, Silver 925;This is a wonderful open curb chain bracelet with a well finished surface. The bracelet looks elegant and classic! Silver 925.;bracelet, open curb chain, silver 925;
101044-45;Necklace, Open Curb Chain, Silver 925;This is a wonderful open curb chain necklace with a well finished surface. The necklace looks elegant and classic! Silver 925.;necklace, open curb chain, silver 925;
101044-50;Necklace, Open Curb Chain, Silver 925;This is a wonderful open curb chain necklace with a well finished surface. The necklace looks elegant and classic! Silver 925.;necklace, open curb chain, silver 925;
